99.90  2.898  0.12  13.32  7.07
99.80  2.891  0.11  14.60  7.20
99.50  2.892  0.11  18.80  7.41
99.40  2.895  0.11  14.47  7.70
99.40  2.931  0.13  18.55  7.47
99.30  2.917  0.12  17.36  7.26
99.20  2.966  0.14  17.09  6.99
99.10  2.918  0.12  16.24  8.07
99.10  2.923  0.11  16.49  6.92
99.10  2.861  0.11  16.98  7.96
99.00  2.928  0.12  17.96  7.46
99.00  2.918  0.13  15.00  8.15
98.80  2.812  0.09  15.89  7.99
98.80  2.812  0.10  15.71  8.41
98.80  2.890  0.12  15.17  8.08
98.70  2.871  0.10  16.80  8.02
98.70  2.799  0.09  15.83  8.57
98.50  2.892  0.11  16.59  8.72
98.40  2.830  0.10  16.61  8.53
98.30  2.994  0.15  15.16  7.95
98.20  2.847  0.10  16.46  8.76
98.10  2.873  0.11  16.50  8.36
98.10  3.037  0.15  15.17  8.04
98.00  2.838  0.10  17.30  8.30
98.00  2.900  0.13  16.78  8.72
98.00  2.920  0.13  18.13  8.84
97.80  2.850  0.16  16.62  8.38
97.80  2.976  0.13  17.08  8.00
97.70  2.882  0.11  19.23  8.44
97.10  2.978  0.12  16.64  8.94
97.10  2.861  0.11  18.88  8.98
97.10  2.846  0.10  20.15  8.40
96.90  2.837  0.10  18.10  8.49
96.90  2.896  0.19  16.61  8.26
96.80  2.907  0.15  18.76  8.16
96.70  2.808  0.11  18.81  8.54
96.50  2.992  0.16  22.11  7.56
96.40  3.009  0.15  18.64  8.61
96.40  3.005  0.15  19.66  7.91
96.40  3.049  0.16  21.95  6.94
96.30  2.872  0.13  17.04  8.42
96.20  2.903  0.15  21.50  8.55
96.10  2.924  0.14  17.77  8.56
95.80  3.012  0.16  22.47  7.96
95.80  2.973  0.14  21.33  7.94
95.40  2.858  0.11  17.51  9.01
95.40  2.848  0.11  19.65  9.03
95.40  3.114  0.16  18.18  8.51
95.40  3.047  0.15  17.58  8.77
95.10  2.888  0.12  17.75  9.21
95.10  2.971  0.13  20.16  8.82
94.90  2.936  0.12  19.03  9.33
94.50  2.965  0.15  18.03  8.49
94.40  2.845  0.17  20.05  9.00
94.20  2.901  0.14  19.90  8.79
94.20  2.788  0.10  19.24  8.90
94.00  2.964  0.15  17.70  8.88
94.00  2.906  0.14  23.00  8.36
93.70  3.083  0.17  16.68  8.30
93.50  3.109  0.17  18.02  8.87
92.80  3.039  0.16  20.93  8.53
92.70  3.029  0.19  19.44  9.09
92.50  2.986  0.15  18.58  9.51
